false,true,true,false,false,true,true,true
long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
table,_start,_stop,_time,_value,_field,_measurement,id
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T00:00:00Z,17.91,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T01:00:00Z,9.73,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T02:00:00Z,5.54,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T03:00:00Z,4.69,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T04:00:00Z,5.44,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T05:00:00Z,4.73,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T06:00:00Z,11.58,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T07:00:00Z,22.47,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T08:00:00Z,52.71,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T09:00:00Z,49.89,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T10:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T11:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T12:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T13:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T14:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T15:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T16:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T17:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T18:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
1,2022-04-04-T00:00:00Z,2022-04-06-T00:00:00Z,2022-04-04-T19:00:00Z,0,flow,METER,e680863b-2d46-4dce-8881-834b040b2e97
